graph,nodes,edges,min_cut,solutions_tested,basic_operations,time_elapsed
Graph_15_14_0,15,14,1,149,11373,0.0
Graph_15_14_1,15,14,1,129,10711,0.009212732315063477
Graph_15_14_2,15,14,1,264,13643,0.010360479354858398
Graph_15_14_3,15,14,1,256,13871,0.006807804107666016
Graph_15_14_4,15,14,1,335,15876,0.01351165771484375
Graph_15_27_0,15,27,1,4391,205979,0.05183577537536621
Graph_15_27_1,15,27,1,3758,178768,0.04370880126953125
Graph_15_27_2,15,27,2,6300,293607,0.057209014892578125
Graph_15_27_3,15,27,1,4002,188450,0.03769636154174805
Graph_15_27_4,15,27,2,6300,294670,0.053437232971191406
Graph_15_53_0,15,53,4,6300,304725,0.05341005325317383
Graph_15_53_1,15,53,5,6300,300937,0.06972813606262207
